iter	Passed	Remaining
0	54	54068
1	88	44352
2	124	41386
3	158	39443
4	196	39115
5	237	39422
6	278	39450
7	322	40011
8	366	40323
9	408	40415
10	454	40902
11	491	40503
12	547	41557
13	586	41321
14	627	41215
15	672	41368
16	714	41338
17	751	40998
18	788	40687
19	827	40538
20	869	40530
21	1023	45480
22	1093	46448
23	1153	46909
24	1211	47266
25	1255	47032
26	1291	46540
27	1328	46128
28	1365	45726
29	1402	45356
30	1442	45082
31	1485	44925
32	1536	45011
33	1575	44774
34	1613	44499
35	1648	44132
36	1682	43790
37	1718	43496
38	1749	43108
39	1786	42877
40	1821	42604
41	1869	42644
42	1922	42779
43	1970	42809
44	2012	42717
45	2054	42599
46	2097	42531
47	2136	42367
48	2172	42169
49	2205	41904
50	2242	41721
51	2278	41539
52	2314	41363
53	2352	41215
54	2392	41107
55	2432	41003
56	2470	40874
57	2513	40818
58	2551	40697
59	2590	40587
60	2634	40553
61	2679	40544
62	2733	40654
63	2805	41034
64	2841	40869
65	2876	40708
66	2911	40546
67	2949	40431
68	2980	40221
69	3012	40022
70	3047	39873
71	3081	39722
72	3115	39565
73	3151	39437
74	3187	39315
75	3226	39226
76	3265	39137
77	3301	39028
78	3340	38946
79	3379	38865
80	3421	38813
81	3465	38794
82	3509	38778
83	3553	38754
84	3590	38646
85	3629	38570
86	3668	38498
87	3701	38365
88	3740	38286
89	3777	38197
90	3811	38070
91	3847	37970
92	3882	37868
93	3919	37781
94	3958	37705
95	4010	37768
96	4057	37771
97	4091	37657
98	4123	37532
99	4155	37402
100	4194	37331
101	4229	37232
102	4262	37120
103	4298	37031
104	4335	36953
105	4369	36853
106	4405	36763
107	4444	36710
108	4484	36657
109	4522	36587
110	4560	36522
111	4600	36475
112	4637	36401
113	4675	36337
114	4714	36282
115	4752	36215
116	4789	36149
117	4826	36074
118	4861	35994
119	4894	35891
120	4943	35913
121	4985	35877
122	5027	35845
123	5067	35798
124	5107	35755
125	5152	35740
126	5193	35703
127	5234	35661
128	5288	35705
129	5323	35623
130	5356	35533
131	5394	35470
132	5426	35373
133	5461	35295
134	5498	35233
135	5531	35143
136	5565	35060
137	5598	34969
138	5631	34881
139	5668	34818
140	5704	34751
141	5740	34684
142	5777	34624
143	5818	34585
144	5859	34551
145	5900	34512
146	5931	34421
147	5967	34354
148	6000	34273
149	6036	34204
150	6075	34159
151	6143	34274
152	6184	34235
153	6218	34162
154	6256	34109
155	6289	34026
156	6328	33981
157	6364	33917
158	6401	33860
159	6433	33774
160	6467	33703
161	6502	33635
162	6535	33560
163	6568	33484
164	6600	33402
165	6633	33326
166	6669	33267
167	6704	33204
168	6739	33139
169	6772	33064
170	6808	33008
171	6842	32941
172	6879	32887
173	6914	32824
174	6944	32736
175	6975	32659
176	7008	32586
177	7044	32530
178	7078	32466
179	7113	32406
180	7147	32342
181	7182	32281
182	7214	32210
183	7250	32154
184	7285	32095
185	7323	32050
186	7355	31978
187	7388	31909
188	7416	31825
189	7450	31761
190	7487	31712
191	7518	31638
192	7553	31585
193	7592	31542
194	7624	31476
195	7665	31445
196	7708	31421
197	7742	31363
198	7784	31332
199	7825	31303
200	7867	31273
201	7912	31257
202	7956	31237
203	7994	31194
204	8030	31142
205	8074	31122
206	8113	31081
207	8153	31047
208	8194	31013
209	8236	30986
210	8277	30953
211	8322	30936
212	8360	30891
213	8408	30882
214	8466	30912
215	8514	30904
216	8549	30849
217	8583	30790
218	8622	30751
219	8660	30704
220	8696	30654
221	8734	30611
222	8771	30562
223	8815	30538
224	8850	30483
225	8896	30468
226	8942	30453
227	8999	30470
228	9033	30414
229	9075	30383
230	9110	30327
231	9146	30277
232	9180	30222
233	9211	30155
234	9248	30106
235	9286	30064
236	9324	30019
237	9366	29988
238	9507	30271
239	9547	30233
240	9581	30174
241	9615	30118
242	9656	30082
243	9689	30021
244	9723	29963
245	9754	29898
246	9789	29845
247	9821	29782
248	9853	29719
249	9885	29656
250	9915	29587
251	9947	29527
252	9980	29467
253	10013	29409
254	10046	29352
255	10076	29284
256	10108	29223
257	10146	29181
258	10181	29130
259	10216	29078
260	10249	29019
261	10286	28974
262	10317	28911
263	10349	28853
264	10380	28791
265	10412	28732
266	10445	28675
267	10477	28618
268	10508	28555
269	10537	28491
270	10567	28427
271	10634	28462
272	10672	28422
273	10711	28380
274	10747	28334
275	10785	28293
276	10822	28247
277	10852	28186
278	10888	28137
279	10922	28085
280	10952	28025
281	10985	27971
282	11019	27918
283	11050	27858
284	11078	27793
285	11107	27730
286	11142	27682
287	11179	27637
288	11217	27597
289	11254	27553
290	11289	27506
291	11329	27469
292	11362	27418
293	11398	27372
294	11432	27322
295	11467	27274
296	11500	27222
297	11537	27179
298	11571	27128
299	11602	27072
300	11638	27027
301	11673	26980
302	11708	26932
303	11739	26876
304	11771	26823
305	11802	26768
306	11832	26709
307	11860	26646
308	11895	26600
309	11922	26537
310	11951	26478
311	11981	26421
312	12014	26370
313	12045	26314
314	12078	26266
315	12112	26218
316	12142	26162
317	12178	26118
318	12211	26068
319	12246	26024
320	12281	25979
321	12318	25938
322	12350	25886
323	12385	25840
324	12418	25791
325	12450	25740
326	12485	25695
327	12519	25650
328	12547	25590
329	12579	25541
330	12606	25479
331	12636	25426
332	12666	25371
333	12694	25312
334	12721	25252
335	12752	25200
336	12778	25139
337	12810	25091
338	12838	25033
339	12874	24991
340	12906	24942
341	12937	24891
342	12968	24839
343	12998	24788
344	13030	24738
345	13062	24691
346	13094	24640
347	13126	24593
348	13159	24545
349	13193	24501
350	13219	24442
351	13249	24392
352	13285	24349
353	13312	24293
354	13344	24246
355	13376	24197
356	13408	24150
357	13444	24109
358	13476	24061
359	13508	24015
360	13542	23972
361	13572	23919
362	13602	23869
363	13634	23822
364	13661	23767
365	13695	23723
366	13727	23676
367	13760	23632
368	13790	23582
369	13821	23533
370	13849	23481
371	13880	23431
372	13911	23384
373	13938	23329
374	13966	23278
375	13995	23226
376	14025	23177
377	14054	23126
378	14085	23079
379	14113	23028
380	14140	22972
381	14173	22929
382	14205	22884
383	14236	22837
384	14269	22794
385	14301	22748
386	14330	22699
387	14358	22648
388	14394	22610
389	14430	22570
390	14464	22529
391	14501	22492
392	14532	22445
393	14568	22407
394	14603	22367
395	14640	22330
396	14673	22288
397	14702	22237
398	14733	22191
399	14765	22148
400	14798	22105
401	14829	22060
402	14864	22020
403	14897	21977
404	14928	21931
405	14956	21882
406	14990	21840
407	15022	21796
408	15057	21758
409	15092	21718
410	15126	21677
411	15160	21636
412	15195	21597
413	15228	21555
414	15262	21514
415	15296	21473
416	15326	21428
417	15358	21384
418	15394	21346
419	15426	21303
420	15457	21258
421	15486	21212
422	15517	21166
423	15547	21121
424	15576	21074
425	15606	21028
426	15637	20983
427	15667	20938
428	15698	20894
429	15727	20847
430	15755	20800
431	15785	20754
432	15816	20710
433	15845	20665
434	15875	20619
435	15903	20573
436	15935	20529
437	15962	20481
438	16003	20451
439	16034	20408
440	16061	20359
441	16094	20318
442	16128	20278
443	16161	20238
444	16194	20198
445	16224	20153
446	16253	20107
447	16299	20083
448	16326	20034
449	16363	19999
450	16397	19960
451	16425	19913
452	16461	19877
453	16497	19840
454	16525	19793
455	16555	19750
456	16588	19709
457	16620	19668
458	16651	19626
459	16685	19586
460	16716	19544
461	16746	19500
462	16773	19453
463	16803	19411
464	16833	19367
465	16864	19325
466	16894	19282
467	16922	19236
468	16951	19192
469	16979	19147
470	17010	19105
471	17040	19062
472	17071	19020
473	17098	18973
474	17127	18930
475	17154	18884
476	17182	18839
477	17209	18794
478	17240	18751
479	17273	18712
480	17301	18668
481	17331	18626
482	17362	18584
483	17389	18539
484	17420	18498
485	17450	18456
486	17479	18413
487	17510	18371
488	17539	18328
489	17571	18288
490	17603	18248
491	17634	18207
492	17664	18166
493	17693	18123
494	17723	18081
495	17749	18035
496	17782	17997
497	17811	17954
498	17842	17913
499	17874	17874
500	17905	17833
501	17937	17794
502	17968	17754
503	17999	17713
504	18030	17673
505	18060	17631
506	18089	17590
507	18121	17550
508	18152	17510
509	18179	17466
510	18207	17423
511	18239	17384
512	18270	17344
513	18299	17302
514	18325	17258
515	18354	17216
516	18386	17177
517	18415	17135
518	18445	17095
519	18477	17055
520	18508	17016
521	18538	16976
522	18568	16935
523	18600	16896
524	18627	16853
525	18655	16811
526	18687	16772
527	18716	16731
528	18749	16693
529	18778	16652
530	18808	16612
531	18842	16575
532	18874	16537
533	18909	16501
534	18944	16465
535	18979	16430
536	19020	16399
537	19054	16363
538	19093	16330
539	19127	16294
540	19164	16259
541	19195	16220
542	19242	16194
543	19270	16153
544	19303	16115
545	19334	16076
546	19363	16036
547	19396	15998
548	19427	15959
549	19455	15918
550	19483	15876
551	19515	15838
552	19544	15798
553	19572	15756
554	19605	15719
555	19636	15681
556	19665	15640
557	19697	15602
558	19725	15561
559	19751	15519
560	19779	15477
561	19810	15439
562	19838	15398
563	19868	15359
564	19900	15321
565	19928	15280
566	19955	15239
567	19988	15202
568	20017	15162
569	20043	15120
570	20077	15084
571	20103	15042
572	20133	15003
573	20162	14963
574	20189	14922
575	20218	14882
576	20248	14843
577	20280	14806
578	20314	14770
579	20340	14729
580	20371	14691
581	20401	14652
582	20429	14612
583	20459	14573
584	20490	14536
585	20520	14497
586	20547	14457
587	20578	14419
588	20606	14379
589	20634	14339
590	20664	14300
591	20693	14261
592	20723	14223
593	20755	14186
594	20793	14153
595	20827	14117
596	20862	14083
597	20897	14048
598	20932	14013
599	20966	13977
600	21003	13943
601	21035	13907
602	21071	13873
603	21103	13836
604	21136	13799
605	21166	13761
606	21197	13724
607	21229	13687
608	21263	13651
609	21291	13612
610	21317	13572
611	21347	13534
612	21378	13496
613	21409	13459
614	21438	13421
615	21466	13381
616	21496	13343
617	21526	13306
618	21558	13269
619	21587	13231
620	21618	13193
621	21645	13154
622	21676	13117
623	21705	13078
624	21736	13041
625	21766	13004
626	21796	12966
627	21827	12929
628	21854	12890
629	21887	12854
630	21919	12818
631	21946	12778
632	21977	12741
633	22007	12704
634	22034	12665
635	22065	12628
636	22094	12590
637	22126	12554
638	22159	12518
639	22194	12484
640	22227	12448
641	22259	12412
642	22290	12375
643	22320	12338
644	22348	12300
645	22375	12261
646	22407	12225
647	22437	12188
648	22464	12149
649	22494	12112
650	22527	12077
651	22555	12038
652	22585	12001
653	22614	11964
654	22648	11929
655	22678	11892
656	22710	11856
657	22745	11821
658	22775	11785
659	22806	11749
660	22838	11712
661	22866	11675
662	22896	11638
663	22925	11600
664	22952	11562
665	22982	11525
666	23009	11487
667	23041	11451
668	23068	11413
669	23100	11377
670	23130	11340
671	23158	11303
672	23189	11267
673	23221	11231
674	23249	11194
675	23278	11157
676	23305	11119
677	23334	11082
678	23362	11044
679	23393	11008
680	23425	10973
681	23455	10936
682	23486	10900
683	23515	10863
684	23544	10826
685	23575	10791
686	23603	10753
687	23634	10717
688	23665	10682
689	23693	10644
690	23725	10609
691	23761	10575
692	23793	10540
693	23822	10503
694	23852	10467
695	23882	10431
696	23913	10395
697	23943	10359
698	23973	10323
699	24003	10287
700	24031	10250
701	24060	10213
702	24090	10177
703	24117	10140
704	24149	10105
705	24180	10069
706	24211	10033
707	24247	10000
708	24276	9964
709	24305	9927
710	24335	9891
711	24366	9856
712	24395	9819
713	24424	9783
714	24454	9747
715	24482	9710
716	24511	9674
717	24543	9639
718	24575	9604
719	24604	9568
720	24634	9532
721	24663	9496
722	24696	9461
723	24726	9426
724	24756	9390
725	24788	9355
726	24822	9321
727	24852	9285
728	24881	9249
729	24911	9213
730	24940	9177
731	24967	9141
732	24999	9106
733	25030	9071
734	25060	9035
735	25089	8999
736	25115	8962
737	25144	8926
738	25175	8891
739	25203	8855
740	25235	8820
741	25263	8784
742	25290	8747
743	25320	8712
744	25346	8675
745	25377	8640
746	25410	8606
747	25438	8570
748	25469	8535
749	25499	8499
750	25531	8465
751	25563	8430
752	25599	8397
753	25632	8362
754	25664	8328
755	25692	8292
756	25721	8256
757	25752	8221
758	25782	8186
759	25817	8152
760	25843	8116
761	25872	8080
762	25900	8045
763	25935	8011
764	25970	7977
765	26005	7944
766	26041	7910
767	26074	7876
768	26104	7841
769	26134	7806
770	26166	7771
771	26199	7737
772	26230	7702
773	26261	7668
774	26290	7632
775	26322	7598
776	26354	7563
777	26385	7529
778	26413	7493
779	26443	7458
780	26471	7423
781	26501	7387
782	26529	7352
783	26558	7317
784	26592	7283
785	26619	7247
786	26649	7212
787	26679	7177
788	26709	7142
789	26738	7107
790	26768	7072
791	26800	7038
792	26831	7003
793	26860	6968
794	26890	6934
795	26921	6899
796	26951	6864
797	26981	6829
798	27012	6795
799	27041	6760
800	27070	6725
801	27099	6690
802	27131	6656
803	27161	6621
804	27192	6587
805	27220	6551
806	27248	6516
807	27281	6482
808	27308	6447
809	27338	6412
810	27370	6378
811	27399	6343
812	27429	6309
813	27463	6275
814	27492	6240
815	27521	6205
816	27550	6170
817	27578	6136
818	27608	6101
819	27637	6066
820	27669	6032
821	27699	5998
822	27727	5963
823	27756	5928
824	27785	5893
825	27815	5859
826	27845	5825
827	27872	5789
828	27901	5755
829	27931	5720
830	27962	5686
831	27993	5652
832	28025	5618
833	28056	5584
834	28085	5549
835	28113	5515
836	28147	5481
837	28177	5447
838	28206	5412
839	28237	5378
840	28267	5344
841	28295	5309
842	28327	5275
843	28360	5241
844	28390	5207
845	28422	5173
846	28450	5139
847	28480	5104
848	28510	5070
849	28541	5036
850	28569	5002
851	28602	4968
852	28633	4934
853	28662	4900
854	28692	4865
855	28721	4831
856	28751	4797
857	28782	4763
858	28814	4729
859	28843	4695
860	28875	4661
861	28908	4628
862	28936	4593
863	28965	4559
864	28996	4525
865	29025	4491
866	29057	4457
867	29088	4423
868	29118	4389
869	29147	4355
870	29179	4321
871	29211	4287
872	29238	4253
873	29265	4219
874	29294	4184
875	29329	4151
876	29360	4117
877	29389	4083
878	29419	4049
879	29450	4015
880	29480	3981
881	29511	3948
882	29541	3914
883	29571	3880
884	29598	3846
885	29628	3812
886	29658	3778
887	29688	3744
888	29717	3710
889	29746	3676
890	29776	3642
891	29802	3608
892	29832	3574
893	29861	3540
894	29891	3506
895	29920	3472
896	29948	3438
897	29977	3404
898	30007	3371
899	30035	3337
900	30067	3303
901	30098	3270
902	30128	3236
903	30156	3202
904	30185	3168
905	30212	3134
906	30240	3100
907	30271	3067
908	30301	3033
909	30332	2999
910	30361	2966
911	30390	2932
912	30419	2898
913	30449	2865
914	30483	2831
915	30513	2798
916	30544	2764
917	30573	2730
918	30602	2697
919	30629	2663
920	30660	2629
921	30690	2596
922	30720	2562
923	30749	2529
924	30780	2495
925	30807	2461
926	30839	2428
927	30867	2394
928	30897	2361
929	30925	2327
930	30950	2293
931	30979	2260
932	31011	2227
933	31044	2193
934	31071	2160
935	31103	2126
936	31133	2093
937	31164	2059
938	31195	2026
939	31227	1993
940	31255	1959
941	31289	1926
942	31324	1893
943	31355	1860
944	31384	1826
945	31417	1793
946	31447	1759
947	31478	1726
948	31506	1693
949	31537	1659
950	31569	1626
951	31597	1593
952	31627	1559
953	31661	1526
954	31693	1493
955	31723	1460
956	31755	1426
957	31786	1393
958	31818	1360
959	31846	1326
960	31874	1293
961	31905	1260
962	31936	1227
963	31965	1193
964	31995	1160
965	32023	1127
966	32054	1093
967	32084	1060
968	32115	1027
969	32145	994
970	32171	960
971	32203	927
972	32232	894
973	32261	861
974	32293	828
975	32323	794
976	32351	761
977	32384	728
978	32412	695
979	32443	662
980	32475	628
981	32506	595
982	32540	562
983	32567	529
984	32599	496
985	32626	463
986	32657	430
987	32687	397
988	32719	363
989	32751	330
990	32781	297
991	32812	264
992	32843	231
993	32876	198
994	32906	165
995	32936	132
996	32964	99
997	32995	66
998	33025	33
999	33058	0
